regions, flu_young, sari_young, cons_young, flu_ad, sari_ad, cons_ad, flu_ag, sari_ag, cons_ag, tot_flu, tot_sari, tot_cons, t_flu, t_sari
Tunis,545,8494,17197,791,2860,10676,1566,3617,28591,2902,14971,56464,5.1,26.51423916
Ariana,923,0,13527,888,0,13352,1682,0,41227,3493,0,68106,5.1,0
Mannouba,804,656,6618,1076,623,9946,1872,1077,38013,3752,2356,54577,6.9,4.316836763
Ben Arous,930,6177,11619,346,2039,7205,1027,3227,37818,2303,11443,56642,4.1,20.20232336
Bizerte,191,5067,12603,344,2930,11580,1339,6216,48886,1874,14213,73069,2.6,19.45147737
Nabeul,1668,15595,34809,1626,5816,18828,4809,15218,131656,8103,36629,185293,4.4,19.76815098
Zaghouan,566,0,8582,642,0,8771,1849,0,38138,3057,0,55491,5.5,0
Beja,399,1044,8166,307,427,3787,1086,618,15328,1792,2089,27281,6.6,7.657343939
Jendouba ,1533,5603,13736,1484,1801,14975,2877,2066,56659,5894,9470,85370,6.9,11.09288977
Le Kef,0,11666,19569,4450,0,20450,15402,0,116707,19852,11666,156726,12.7,7.443563927
Siliana,265,0,4097,1232,0,9643,2965,0,53375,4462,0,67115,6.6,0
Kairouan,2630,6547,36308,2595,4105,27777,8957,8675,145304,14182,19327,209389,6.8,9.230188787
Sousse,647,7265,24564,1017,3283,20345,3125,8097,76950,4789,18645,121859,3.9,15.30047022
Mahdia,304,2242,7804,732,0,5682,1908,0,27204,2944,2242,40690,7.2,5.509953305
Monastir,469,112,3565,1689,181,7936,3525,422,24394,5683,715,35895,15.8,1.99192088
Kasserine,1299,5225,19222,893,141,5226,2032,470,29394,4224,5836,53842,7.8,10.83912188
Sfax,2494,5784,20801,2493,4569,27369,5292,11496,114081,10279,21849,162251,6.3,13.46617278
Gabes,1316,3720,27365,2937,106,22128,9657,389,103771,13910,4215,153264,9.1,2.750156593
Kebili,1196,5327,19804,1983,2410,19019,6189,7056,99874,9368,14793,138697,6.8,10.66569573
Gafsa,314,0,3919,409,0,4617,1211,0,24059,1934,0,32595,5.9,0
Sidi Bouzid,2617,6246,24994,2959,3064,22610,9551,6845,114540,15127,16155,162144,9.3,9.963365897
Tozeur,211,840,3968,433,1066,4420,1502,1989,23480,2146,3895,31868,6.7,12.22229195
Medenine,1292,5439,26515,1884,3408,30626,4545,8724,108021,7721,17571,165162,4.674804132,10.63864569
Tataouin,532,787,3049,880,1048,4512,2324,2119,21989,3736,3954,29550,12.642978,13.38071066
