regions, flu_young, sari_young, cons_young, flu_ad, sari_ad, cons_ad, flu_ag, sari_ag, cons_ag, tot_flu, tot_sari, tot_cons, t_flu, t_sari
Tunis,1642,698,16146,1371,259,9542,2475,270,20219,5545,1227,45033,12.31319255,2.724668576
Ariana,316,0,6935,264,0,5373,980,0,24236,1560,0,36544,4.26882662,0
Mannouba,540,35,5411,554,26,6039,1739,109,32975,2833,170,44425,6.377039955,0.382667417
Ben Arous,194,0,8659,189,0,5246,806,0,31930,1186,0,45412,2.6,0
Bizerte,187,0,13553,424,0,7927,2119,0,48816,2675,0,67762,3.94764027,0
Nabeul,176,0,10235,243,0,7433,1563,0,45569,1982,0,64627,3.1,0
Zaghouan,51,0,2812,80,0,1456,387,0,7407,494,0,10285,4.8,0
Beja,587,0,3751,381,0,5239,1901,0,30171,2869,0,39161,7.3,0
Jendouba ,4446,0,8631,1649,0,6936,2316,0,28024,8411,0,43591,19.3,0
Le Kef,3,2257,11494,1299,0,6600,4099,0,44567,5401,2257,62661,8.6,3.60192145
Siliana,102,0,1343,130,0,2989,455,0,12909,687,0,17241,4.0,0
Kairouan,475,3181,22178,1603,1262,16928,4321,4345,81367,6465,8788,121256,5.3,7.247476414
Sousse,85,0,7004,340,0,8943,1231,0,36255,1670,0,52406,3.186658016,0
Mahdia,865,0,6896,392,0,2377,769,0,10586,1903,0,20047,9.492692173,0
Monastir,223,0,1554,184,0,2468,507,0,11448,930,0,15548,6.0,0
Kasserine,2135,0,9120,445,89,2148,1756,0,26025,4187,0,37293,11.22730807,0
Sfax,2226,358,20800,3171,525,19962,7343,655,100909,12020,1304,141671,8.5,0.920442434
Gabes,1089,238,8704,1223,165,6861,3596,410,37571,5872,790,53136,11.05088829,1.486750979
Kebili,1793,7773,26097,3176,3227,19581,7256,10158,99193,12041,21285,144871,8.311532329,14.6923815
Gafsa,425,0,5222,447,25,4802,888,0,21408,1591,0,31432,5.06172054,0
Sidi Bouzid,365,0,3075,206,0,1282,336,0,6250,787,0,10607,7.4,0
Tozeur,211,1271,3736,308,1691,5457,1035,3617,25528,1559,6579,34721,4.490078051,18.94818698
Medenine,299,0,5807,304,0,3998,1247,0,14533,1850,0,24338,7.601281946,0
Tataouin,524,43,1668,427,38,2199,1462,168,9947,2413,249,13814,17.4677863,1.802519183
