Tunis,0,0,0,0,0,0,0,0,0,0,0,0,1,october,2009,0,0
Ariana,179,0,903,267,0,936,1015,0,5444,1461,0,7283,1,october,2009,20.06,0
Mannouba,0,0,0,0,0,0,0,0,0,0,0,0,1,october,2009,0,0
Ben Arous,0,0,0,0,0,0,0,0,0,0,0,0,1,october,2009,0,0
Bizerte,25,158,372,46,143,447,138,407,2145,169,708,2964,1,october,2009,5.702,23.887
Nabeul,43,728,1479,95,278,941,394,721,6028,532,1727,8448,1,october,2009,6.297,20.443
Zaghouan,43,0,415,98,0,498,220,0,1859,361,0,2772,1,october,2009,13.023,0
Beja,22,82,502,32,52,280,81,125,1208,135,259,1990,1,october,2009,6.784,13.015
Jendouba ,77,262,664,65,83,480,122,159,1324,264,504,2468,1,october,2009,10.697,20.421
Le Kef,0,428,1083,371,0,1197,1425,0,5412,1796,428,7692,1,october,2009,23.349,5.564
Siliana,4,0,76,92,0,315,262,0,1596,358,0,1987,1,october,2009,18.017,0
Kairouan,47,49,1114,135,40,783,711,247,5265,893,336,7162,1,october,2009,12.469,4.691
Sousse,50,172,983,70,49,781,225,232,6014,345,453,7778,1,october,2009,4.436,5.824
Mahdia,80,18,543,48,0,384,79,0,671,207,18,1598,1,october,2009,12.954,1.126
Monastir,0,0,0,0,0,0,0,0,0,0,0,0,1,october,2009,0,0
Kasserine,52,0,886,113,0,605,316,2,3522,481,2,5013,1,october,2009,9.595,0.04
Sfax,71,159,1029,187,205,1886,379,453,5704,637,817,8619,1,october,2009,7.391,9.479
Gabes,21,119,527,74,40,826,243,82,2294,338,241,3647,1,october,2009,9.268,6.608
Kebili,0,0,0,0,0,0,0,0,0,0,0,0,1,october,2009,0,0
Gafsa,9,0,422,57,0,480,234,0,3176,300,0,4078,1,october,2009,7.357,0
Sidi Bouzid,129,209,777,245,117,1051,729,320,5605,1103,646,7433,1,october,2009,14.839,8.691
Tozeur,6,19,100,45,20,108,195,68,830,246,107,1038,1,october,2009,23.699,10.308
Medenine,20,172,1036,54,172,1267,102,512,4161,176,856,6464,1,october,2009,2.723,13.243
Tataouin,17,11,66,34,9,156,60,20,592,111,40,814,1,october,2009,13.636,4.914
Tunis,0,0,0,0,0,0,0,0,0,0,0,0,2,october,2009,0,0
Ariana,31,0,200,28,0,192,81,0,718,140,0,1110,2,october,2009,12.613,0
Mannouba,0,0,0,0,0,0,0,0,0,0,0,0,2,october,2009,0,0
Ben Arous,0,0,0,0,0,0,0,0,0,0,0,0,2,october,2009,0,0
Bizerte,36,276,512,42,126,394,134,358,1986,212,760,2892,2,october,2009,7.331,26.279
Nabeul,50,1000,1654,123,317,1156,305,672,5701,478,1989,8511,2,october,2009,5.616,23.37
Zaghouan,31,0,390,102,0,435,181,0,1841,314,0,2666,2,october,2009,11.778,0
Beja,4,18,149,19,14,98,46,17,390,69,49,637,2,october,2009,10.832,7.692
Jendouba ,57,272,630,67,84,377,122,146,1231,246,502,2238,2,october,2009,10.992,22.431
Le Kef,0,381,947,376,0,1052,1022,0,5572,1398,381,7571,2,october,2009,18.465,5.032
Siliana,13,0,162,80,0,466,362,0,2561,455,0,3189,2,october,2009,14.268,0
Kairouan,81,110,1555,168,81,1259,603,371,5396,852,562,8210,2,october,2009,10.378,6.845
Sousse,45,211,1002,80,101,753,284,197,5856,409,509,7611,2,october,2009,5.374,6.688
Mahdia,89,14,592,59,0,353,87,0,741,235,14,1686,2,october,2009,13.938,0.83
Monastir,0,0,0,0,0,0,0,0,0,0,0,0,2,october,2009,0,0
Kasserine,50,6,958,123,8,666,317,41,3719,490,55,5343,2,october,2009,9.171,1.029
Sfax,49,234,931,182,142,1401,391,329,4803,622,705,7135,2,october,2009,8.718,9.881
Gabes,46,89,876,115,31,1294,487,73,4457,648,193,6627,2,october,2009,9.778,2.912
Kebili,0,0,0,0,0,0,0,0,0,0,0,0,2,october,2009,0,0
Gafsa,11,0,110,28,0,201,135,0,1074,174,0,1385,2,october,2009,12.563,0
Sidi Bouzid,167,155,923,170,134,873,703,268,4881,1040,557,6677,2,october,2009,15.576,8.342
Tozeur,4,26,100,16,22,119,113,50,670,133,98,889,2,october,2009,14.961,11.024
Medenine,15,353,1242,77,190,1027,231,497,3846,323,1040,6115,2,october,2009,5.282,17.007
Tataouin,18,24,121,37,26,571,81,60,802,136,110,1494,2,october,2009,9.103,7.363
Tunis,0,0,0,0,0,0,0,0,0,0,0,0,3,october,2009,0,0
Ariana,51,0,311,51,0,254,124,0,792,226,0,1357,3,october,2009,16.654,0
Mannouba,0,0,0,0,0,0,0,0,0,0,0,0,3,october,2009,0,0
Ben Arous,0,0,0,0,0,0,0,0,0,0,0,0,3,october,2009,0,0
Bizerte,47,194,440,28,88,264,94,216,1687,169,498,2391,3,october,2009,7.068,20.828
Nabeul,112,753,1618,115,256,1280,298,629,5371,525,1638,8269,3,october,2009,6.349,19.809
Zaghouan,39,0,396,72,0,425,202,0,1798,313,0,2619,3,october,2009,11.951,0
Beja,15,68,147,7,34,84,37,69,463,59,171,694,3,october,2009,8.501,24.64
Jendouba ,67,195,542,39,85,296,113,128,1116,219,408,1954,3,october,2009,11.208,20.88
Le Kef,0,486,1125,277,0,985,1155,0,4803,1432,486,6913,3,october,2009,20.715,7.03
Siliana,16,0,101,75,0,432,235,0,2298,326,0,2831,3,october,2009,11.515,0
Kairouan,27,80,1251,63,64,867,216,244,3960,306,388,6078,3,october,2009,5.035,6.384
Sousse,68,243,1038,89,85,664,299,210,5125,456,538,6827,3,october,2009,6.679,7.88
Mahdia,48,24,498,28,0,319,72,0,681,148,24,1498,3,october,2009,9.88,1.602
Monastir,0,0,0,0,0,0,0,0,0,0,0,0,3,october,2009,0,0
Kasserine,55,0,631,108,0,413,234,5,2659,397,5,3703,3,october,2009,10.721,0.135
Sfax,65,227,861,182,165,1117,437,310,4808,684,702,6786,3,october,2009,10.08,10.345
Gabes,48,52,737,141,14,1112,471,58,3341,660,124,5190,3,october,2009,12.717,2.389
Kebili,164,283,1332,199,57,1366,742,230,6422,1105,570,9120,3,october,2009,12.116,6.25
Gafsa,18,0,97,51,0,211,108,0,929,177,0,1237,3,october,2009,14.309,0
Sidi Bouzid,285,248,944,184,110,892,616,274,4409,1085,632,6245,3,october,2009,17.374,10.12
Tozeur,6,25,84,19,27,100,105,54,656,130,106,840,3,october,2009,15.476,12.619
Medenine,28,308,889,84,188,972,211,483,3617,323,979,5478,3,october,2009,5.896,17.871
Tataouin,17,31,157,40,34,145,92,66,824,149,131,1126,3,october,2009,13.233,11.634
Tunis,0,0,0,60,0,545,0,0,0,60,0,545,4,october,2009,11.009,0
Ariana,19,0,177,19,0,145,54,0,734,92,0,1056,4,october,2009,8.712,0
Mannouba,0,0,0,0,0,0,0,0,0,0,0,0,4,october,2009,0,0
Ben Arous,0,0,0,0,0,0,0,0,0,0,0,0,4,october,2009,0,0
Bizerte,26,245,430,30,117,353,123,246,1835,179,608,2618,4,october,2009,6.837,23.224
Nabeul,58,834,1610,53,238,815,166,707,4881,277,1779,7306,4,october,2009,3.791,24.35
Zaghouan,32,0,414,63,0,374,189,0,1855,284,0,2643,4,october,2009,10.745,0
Beja,33,96,342,5,57,186,64,91,1109,102,244,1637,4,october,2009,6.231,14.905
Jendouba ,43,247,561,33,56,283,78,90,1022,154,393,1866,4,october,2009,8.253,21.061
Le Kef,0,361,909,195,0,748,757,0,4416,952,361,6073,4,october,2009,15.676,5.944
Siliana,6,0,78,24,0,144,92,0,995,122,0,1217,4,october,2009,10.025,0
Kairouan,30,95,1079,44,51,727,200,179,3994,274,325,5800,4,october,2009,4.724,5.603
Sousse,60,200,800,39,108,599,176,297,5005,275,605,6404,4,october,2009,4.294,9.447
Mahdia,0,0,0,0,0,0,0,0,0,0,0,0,4,october,2009,0,0
Monastir,0,0,0,0,0,0,0,0,0,0,0,0,4,october,2009,0,0
Kasserine,37,3,614,74,3,300,170,16,1887,281,22,2801,4,october,2009,10.032,0.785
Sfax,20,111,459,54,53,717,123,137,2287,197,301,3463,4,october,2009,5.689,8.692
Gabes,40,48,763,88,47,729,341,37,3387,469,132,4879,4,october,2009,9.613,2.705
Kebili,77,90,644,68,25,725,372,101,3048,517,216,4417,4,october,2009,11.705,4.89
Gafsa,24,0,124,31,0,228,105,0,1223,160,0,1575,4,october,2009,10.159,0
Sidi Bouzid,181,170,900,170,110,746,439,174,4611,790,454,6257,4,october,2009,12.626,7.256
Tozeur,26,25,119,27,18,117,66,60,586,119,103,822,4,october,2009,14.477,12.53
Medenine,33,254,882,63,173,956,134,461,3461,230,888,5299,4,october,2009,4.34,16.758
Tataouin,4,45,130,14,41,141,54,74,695,72,160,966,4,october,2009,7.453,16.563
Tunis,0,0,0,0,0,0,0,0,0,0,0,0,5,october,2009,0,0
Ariana,11,0,134,21,0,140,60,0,545,92,0,819,5,october,2009,11.233,0
Mannouba,0,0,0,0,0,0,0,0,0,0,0,0,5,october,2009,0,0
Ben Arous,17,0,663,36,0,312,76,0,1560,129,0,2535,5,october,2009,5.089,0
Bizerte,19,117,206,18,52,147,57,136,809,94,305,1162,5,october,2009,8.09,26.248
Nabeul,0,0,0,0,0,0,0,0,0,0,0,0,5,october,2009,0,0
Zaghouan,7,0,164,23,0,155,53,0,707,83,0,1026,5,october,2009,8.09,0
Beja,15,91,243,3,10,62,17,51,248,35,152,553,5,october,2009,6.329,27.486
Jendouba ,29,97,244,13,22,104,41,38,540,83,157,888,5,october,2009,9.347,17.68
Le Kef,0,156,390,68,0,377,508,0,1790,576,156,2557,5,october,2009,22.526,6.101
Siliana,14,0,76,25,0,165,89,0,1029,128,0,1270,5,october,2009,10.079,0
Kairouan,14,68,503,19,39,481,131,152,2405,164,259,3389,5,october,2009,4.839,7.642
Sousse,24,94,399,21,40,299,86,93,2497,131,227,3195,5,october,2009,4.1,7.105
Mahdia,12,7,193,9,0,129,21,0,319,42,7,641,5,october,2009,6.552,1.092
Monastir,0,0,0,0,0,0,0,0,0,0,0,0,5,october,2009,0,0
Kasserine,44,4,599,38,1,242,89,11,1928,171,16,2769,5,october,2009,6.176,0.578
Sfax,18,109,478,34,47,529,73,83,2044,125,239,3051,5,october,2009,4.097,7.833
Gabes,15,57,310,34,27,288,118,43,1332,167,127,1930,5,october,2009,8.653,6.58
Kebili,56,165,625,85,43,567,278,93,2883,419,301,4075,5,october,2009,10.282,7.387
Gafsa,30,23,236,0,0,0,0,0,0,30,23,236,5,october,2009,12.712,9.746
