regions, flu_young, sari_young, cons_young, flu_ad, sari_ad, cons_ad, flu_ag, sari_ag, cons_ag, tot_flu, tot_sari, tot_cons, t_flu, t_sari
Tunis,165,3241,6674,180,991,3312,487,1212,9984,832,5444,19970,4.166249374,27.26089134
Ariana,135,0,1304,132,0,939,240,0,4861,507,0,7104,7.136824324,0
Mannouba,181,277,886,139,121,893,280,297,5221,600,695,7000,8.571428571,9.928571429
Ben Arous,196,1775,3834,138,729,2055,431,1376,11945,765,3880,17834,4.289559269,21.75619603
Bizerte,143,1357,4572,245,856,4216,671,1640,14496,1059,3853,23284,4.548187597,16.54784401
Nabeul,419,5830,11399,308,1988,6601,860,4424,38648,1587,12242,56648,2.801511086,21.61064821
Zaghouan,173,0,2919,221,0,1979,675,0,11920,1069,0,16818,6.356284933,0
Beja,123,470,2031,57,175,1146,202,349,4582,382,994,7759,4.92331486,12.81092924
Jendouba ,181,1179,2568,118,253,1402,516,324,5868,815,1756,9838,8.284204107,17.84915633
Le Kef,7,2472,5885,990,0,5532,3071,0,36149,4068,2472,47566,8.552327293,5.196989446
Siliana,198,257,1651,354,0,2820,963,0,16835,1515,257,21306,7.11067305,1.206232986
Kairouan,469,1269,7752,336,667,5827,1366,1959,31813,2171,3895,45392,4.782781107,8.580807191
Sousse,496,2266,8314,302,766,5086,1092,2416,26113,1890,5448,39513,4.783235897,13.78786728
Mahdia,129,479,2240,210,0,1202,356,0,6753,695,479,10195,6.81706719,4.69838156
Monastir,173,170,1772,194,70,2293,489,88,9042,856,328,13107,6.530861372,2.502479591
Kasserine,266,620,4996,220,87,1702,444,184,9784,930,891,16482,5.642519112,5.405897343
Sfax,275,1410,6481,361,702,7074,769,1638,37186,1405,3750,50741,2.768963954,7.390473187
Gabes,292,976,6056,569,70,5463,1759,191,24786,2620,1237,36305,7.216636827,3.407244181
Kebili,229,1309,5293,379,85,4447,1463,383,25282,2071,1777,35022,5.913425847,5.073953515
Gafsa,357,162,3480,487,284,4682,865,418,33456,1709,864,41618,4.106396271,2.076024797
Sidi Bouzid,836,1339,8133,681,422,6931,2343,955,37045,3860,2716,52109,7.40754956,5.212151452
Tozeur,48,128,702,55,153,703,238,425,4538,341,706,5943,5.73784284,11.87952213
Medenine,172,1134,4940,181,564,4535,498,1376,19178,851,3074,28653,2.970020591,10.7283705
Tataouin,33,116,962,51,115,605,206,282,5828,290,513,7395,3.921568627,6.937119675
